,City,Contact,Country,County,District,Formatted,Group,ID,Last Remodel,Latitude,Longitude,Opened,Region,State,Store Features,Store_Name,Stores_Open,Street,SubType,Timings,Type,Zipcode
10,Opelika,(334) 705-0152,United States,Lee,340,"2640 Enterprise Dr, Opelika, AL 36801-1511",394,1499,2018-07-20T12:00:00,32.618108,-85.410636,2005-07-20T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Opelika,"['Monday-Friday', 'Saturday', 'Sunday']",2640 Enterprise Dr,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,36801-1511
11,Oxford,(256) 231-2900,United States,Calhoun,340,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",394,2153,null,33.608825,-85.783182,2006-07-19T12:00:00,300,AL,"['CVS pharmacy', 'Café', 'Drive Up', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Oxford,"['Monday-Friday', 'Saturday', 'Sunday']",400 Oxford Exchange Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,36203-3459
12,Columbus,(706) 321-0831,United States,Muscogee,340,"1591 Bradley Park Dr, Columbus, GA 31904-3071",394,1179,2018-10-26T12:00:00,32.534649,-84.971073,1999-03-03T12:00:00,300,GA,"['CVS pharmacy', 'Drive Up', 'Mobile Kiosk', 'Starbucks']",Columbus,"['Monday-Friday', 'Saturday', 'Sunday']",1591 Bradley Park Dr,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,31904-3071
13,Carrollton,(770) 838-9221,United States,Carroll,336,"1129 S Park St, Carrollton, GA 30117-4429",394,1073,2018-08-03T12:00:00,33.55892,-85.076473,1997-07-23T12:00:00,300,GA,"['Café', 'Drive Up']",Carrollton,"['Monday-Friday', 'Saturday', 'Sunday']",1129 S Park St,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,30117-4429
14,Decatur,(256) 898-3036,United States,Morgan,369,"1235 Point Mallard Pkwy SE, Decatur, AL 35601-6531",394,2084,null,34.559064,-86.97103,2007-10-10T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Decatur,"['Monday-Friday', 'Saturday', 'Sunday']",1235 Point Mallard Pkwy SE,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,35601-6531
15,Newnan,(770) 502-0294,United States,Coweta,336,"555 Bullsboro Dr, Newnan, GA 30265-1045",394,1223,2013-06-27T12:00:00,33.392907,-84.758875,1999-10-06T12:00:00,300,GA,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Newnan,"['Monday-Friday', 'Saturday', 'Sunday']",555 Bullsboro Dr,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30265-1045
16,Dothan,(334) 340-1112,United States,Houston,348,"4601 Montgomery Hwy, Dothan, AL 36303-1522",393,1468,2012-10-11T12:00:00,31.266492,-85.446808,2007-03-07T12:00:00,300,AL,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Dothan,"['Monday-Friday', 'Saturday', 'Sunday']",4601 Montgomery Hwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,36303-1522
17,Huntsville,(256) 650-3491,United States,Madison,369,"2750 Carl T Jones Dr SE, Huntsville, AL 35802-4914",394,1367,null,34.673498,-86.541632,2001-10-10T12:00:00,300,AL,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Huntsville South,"['Monday-Friday', 'Saturday', 'Sunday']",2750 Carl T Jones Dr SE,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35802-4914
18,Huntsville,(256) 922-0189,United States,Madison,369,"6275 University Dr NW, Huntsville, AL 35806-1776",394,1346,null,34.741637,-86.681523,2001-07-25T12:00:00,300,AL,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Huntsville West,"['Monday-Friday', 'Saturday', 'Sunday']",6275 University Dr NW,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35806-1776
19,Madison,(256) 690-5890,United States,Madison,369,"8207 HIGHWAY 72 W, Madison, AL 35758-9571",394,2816,null,34.749313,-86.755874,2012-03-07T12:00:00,300,AL,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Madison,"['Monday-Friday', 'Saturday', 'Sunday']",8207 HIGHWAY 72 W,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,35758-9571
20,Peachtree City,(770) 282-2165,United States,Fayette,336,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",394,2129,2013-10-10T12:00:00,33.436865,-84.590146,2006-07-19T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Peachtree City,"['Monday-Friday', 'Saturday', 'Sunday']",1209 Peachtree Pkwy N,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30269-1743
21,Douglasville,(770) 947-5303,United States,Douglas,336,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",394,1172,2018-07-20T12:00:00,33.726106,-84.735376,1998-10-07T12:00:00,300,GA,"['CVS pharmacy', 'Café', 'Drive Up']",Douglasville,"['Monday-Friday', 'Saturday', 'Sunday']",2950 Chapel Hill Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30135-1708
22,Hiram,(678) 567-0142,United States,Paulding,336,"5220 Jimmy Lee Smith Pkwy, Hiram, GA 30141-2739",394,1400,null,33.885814,-84.744219,2002-03-06T12:00:00,300,GA,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Hiram,"['Monday-Friday', 'Saturday', 'Sunday']",5220 Jimmy Lee Smith Pkwy,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30141-2739
23,Fayetteville,(770) 719-9766,United States,Fayette,336,"107 Pavilion Pkwy, Fayetteville, GA 30214-4098",394,778,2007-10-18T12:00:00,33.481744,-84.438531,1995-10-04T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Fayetteville,"['Monday-Friday', 'Saturday', 'Sunday']",107 Pavilion Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,30214-4098
24,East Point,(404) 267-0063,United States,Fulton,336,"3660 Marketplace Blvd, East Point, GA 30344-5738",394,1546,2012-06-21T12:00:00,33.659201,-84.499825,2003-07-23T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",East Point,"['Monday-Friday', 'Saturday', 'Sunday']",3660 Marketplace Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,30344-5738
25,Austell,(678) 945-4550,United States,Cobb,336,"4125 Austell Rd, Austell, GA 30106-1836",394,1164,2004-08-08T12:00:00,33.852078,-84.602475,1999-03-03T12:00:00,300,GA,"['CVS pharmacy', 'Café', 'Drive Up']",Austell,"['Monday-Friday', 'Saturday', 'Sunday']",4125 Austell Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30106-1836
26,Florence,(256) 764-6924,United States,Lauderdale,369,"372 Cox Creek Pkwy, Florence, AL 35630-1540",394,1322,2007-07-13T12:00:00,34.84213,-87.634764,2001-03-07T12:00:00,300,AL,"['CVS pharmacy', 'Café', 'Drive Up', 'Mobile Kiosk', 'Wine & Beer Available']",Florence,"['Monday-Friday', 'Saturday', 'Sunday']",372 Cox Creek Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35630-1540
27,Pace,(850) 995-7820,United States,Santa Rosa,359,"4727 Highway 90, Pace, FL 32571-1403",393,2279,2012-10-11T12:00:00,30.601174,-87.126274,2007-07-25T12:00:00,300,FL,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']",Pace,"['Monday-Friday', 'Saturday', 'Sunday']",4727 Highway 90,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,32571-1403
28,Marietta,(770) 792-7933,United States,Cobb,334,"2535 Dallas Hwy SW, Marietta, GA 30064-2543",394,1165,2013-06-27T12:00:00,33.944886,-84.626634,1998-10-07T12:00:00,300,GA,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",West Marietta,"['Monday-Friday', 'Saturday', 'Sunday']",2535 Dallas Hwy SW,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30064-2543
29,Acworth,(678) 202-0996,United States,Cobb,334,"3378 Cobb Pkwy NW, Acworth, GA 30101-8304",394,2091,null,34.039709,-84.683783,2006-07-19T12:00:00,300,GA,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Acworth,"['Monday-Friday', 'Saturday', 'Sunday']",3378 Cobb Pkwy NW,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30101-8304
30,Cartersville,(770) 387-9595,United States,Bartow,334,"100 Cherokee Pl, Cartersville, GA 30121-2954",394,969,2017-04-01T12:00:00,34.172491,-84.785638,1995-10-04T12:00:00,300,GA,"['Café', 'Drive Up', 'Photo Lab', 'Starbucks']",Cartersville,"['Monday-Friday', 'Saturday', 'Sunday']",100 Cherokee Pl,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,30121-2954
31,Pensacola,(850) 473-8647,United States,Escambia,359,"1749 E Nine Mile Rd, Pensacola, FL 32514-5729",393,1273,2018-07-20T12:00:00,30.530082,-87.223828,2000-07-19T12:00:00,300,FL,"['Accepts WIC', 'CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Pensacola NE,"['Monday-Friday', 'Saturday', 'Sunday']",1749 E Nine Mile Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,32514-5729
32,Kennesaw,(770) 425-6895,United States,Cobb,334,"740 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144-6860",394,981,2018-07-03T12:00:00,34.009047,-84.573229,1995-07-19T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",Cobb,"['Monday-Friday', 'Saturday', 'Sunday']",740 Ernest W Barrett Pkwy NW,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,30144-6860
33,Smyrna,(770) 952-2241,United States,Cobb,334,"2201 Cobb Pkwy SE, Smyrna, GA 30080-7633",394,373,2012-03-22T12:00:00,33.897945,-84.479481,1989-04-26T12:00:00,300,GA,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Smyrna,"['Monday-Friday', 'Saturday', 'Sunday']",2201 Cobb Pkwy SE,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,30080-7633
34,Atlanta,(678) 954-4265,United States,Fulton,336,"375 18th St, Atlanta, GA 30363",394,2137,2012-03-22T12:00:00,33.792608,-84.399931,2007-10-10T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Atlanta Midtown,"['Monday-Friday', 'Saturday', 'Sunday']",375 18th St,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,30363
35,Mcdonough,(678) 583-2184,United States,Henry,346,"1850 Jonesboro Rd, Mcdonough, GA 30253-5960",394,1461,null,33.46739,-84.216511,2002-07-24T12:00:00,300,GA,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",McDonough,"['Monday-Friday', 'Saturday', 'Sunday']",1850 Jonesboro Rd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,30253-5960
36,Atlanta,(404) 260-0200,United States,Dekalb,336,"1275 Caroline St NE, Atlanta, GA 30307-2705",394,1964,2012-03-22T12:00:00,33.757275,-84.346626,2005-03-02T12:00:00,300,GA,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Atlanta Edgewood,"['Monday-Friday', 'Saturday', 'Sunday']",1275 Caroline St NE,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '7:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '7:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '7:00 a.m.-11:00 p.m.'}]",Store,30307-2705
37,Pensacola,(850) 494-9070,United States,Escambia,359,"4711 Bayou Blvd, Pensacola, FL 32503-2607",393,686,2012-06-21T12:00:00,30.468992,-87.208593,1992-03-11T12:00:00,300,FL,"['Accepts WIC', 'CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Pensacola,"['Monday-Friday', 'Saturday', 'Sunday']",4711 Bayou Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,32503-2607
